theta,n,time
3,500,71.1
3,1000,550.4
3,1500,1897.5
3,2000,4474.2
3,2500,7563.3
3,3000,12098.4
3,3500,20358.1
3,4000,35984.0
3,4500,57569.2
3,5000,81269.3
5,500,45.4
5,1000,335.6
5,1500,1304.2
5,2000,2744.2
5,2500,5023.5
5,3000,7653.0
5,3500,12056.8
5,4000,22123.5
5,4500,32389.7
5,5000,51632.4
7,500,35.0
7,1000,244.6
7,1500,852.9
7,2000,1904.1
7,2500,3371.5
7,3000,5517.2
7,3500,8951.7
7,4000,17204.1
7,4500,25396.5
7,5000,35346.6
